date,series_id,value,inflation_yoy,infl_12m_mean,infl_12m_std,infl_12m_z
2024-05-01,CPIAUCSL,313.175,3.244278584003113,3.317160471721109,0.2071650746887776,-0.3518058621970235
2024-06-01,CPIAUCSL,313.044,2.9702579486470926,3.3087972113586086,0.2186562754690034,-1.5482714227404235
2024-07-01,CPIAUCSL,313.569,2.9414757935583014,3.279941088452776,0.2412151010590397,-1.4031679335516898
2024-08-01,CPIAUCSL,314.062,2.607144490692037,3.186994395718338,0.266355068086001,-2.176980934483583
2024-09-01,CPIAUCSL,314.732,2.4264830315416708,3.0819340951702063,0.2953886583977281,-2.2189445836677955
2024-10-01,CPIAUCSL,315.631,2.578844053871343,3.0258989405043866,0.3206504557934548,-1.3942125406520904
2024-11-01,CPIAUCSL,316.528,2.719472461284833,2.99140945606219,0.3293780174720825,-0.8256076008484869
2024-12-01,CPIAUCSL,317.604,2.870690967509981,2.954307874795498,0.3155197564310462,-0.2650132220921332
2025-01-01,CPIAUCSL,318.961,2.9909783078999608,2.94619415158003,0.313212111279371,0.1429834757570574
2025-02-01,CPIAUCSL,319.679,2.8015834477613355,2.916569927089417,0.3086438979839209,-0.3725538722105954
2025-03-01,CPIAUCSL,319.785,2.381981462805549,2.824498806316241,0.2889622591882697,-1.531401868028639
2025-04-01,CPIAUCSL,320.302,2.32538823025783,2.7382148983194203,0.269899505659547,-1.5295569625174958
2025-05-01,CPIAUCSL,320.62,2.377265107368088,2.6659637752665017,0.2390415790356646,-1.2077341066063685
2025-06-01,CPIAUCSL,321.435,2.680453865910226,2.6418134350384297,0.2210404694602087,0.1748115671585309
2025-07-01,CPIAUCSL,322.169,2.742618052167134,2.6252419565891656,0.2048119756864641,0.5730919551191346
2025-08-01,CPIAUCSL,323.291,2.9385917430316155,2.652862560950797,0.2221263044574569,1.2863365407294345
2025-09-01,CPIAUCSL,324.245,3.022571584713329,2.702536607048436,0.2323625188920939,1.3773089532288707
2025-10-01,CPIAUCSL,,,2.713781384609989,0.2395483134553975,
2025-11-01,CPIAUCSL,325.063,2.696443916493952,2.711687880538091,0.2395900529820289,-0.0636251958476861
2025-12-01,CPIAUCSL,326.031,2.653304114557753,2.691925439360616,0.234572709397801,-0.1646454308432219
2026-01-01,CPIAUCSL,326.588,2.391201432150014,2.637400268837893,0.2283472813385583,-1.078177218684961
2026-02-01,CPIAUCSL,327.46,2.4340041103732224,2.603983965438974,0.2287710304723643,-0.743013023610458
